Year,Round,EventName,DriverNumber,DriverAbbr,TeamName,GridPosition,Position,Points,Status,ClassifiedLaps,TotalRaceLaps
2018,11,German Grand Prix,5,VET,Ferrari,1.0,18.0,0.0,Accident,52.0,67
2018,11,German Grand Prix,35,SIR,Williams,12.0,19.0,0.0,Engine,51.0,67
2018,11,German Grand Prix,3,RIC,Red Bull Racing,20.0,20.0,0.0,Engine,28.0,67
2018,12,Hungarian Grand Prix,44,HAM,Mercedes,1.0,1.0,25.0,Finished,70.0,70
2018,12,Hungarian Grand Prix,5,VET,Ferrari,4.0,2.0,18.0,Finished,70.0,70
2018,12,Hungarian Grand Prix,7,RAI,Ferrari,3.0,3.0,15.0,Finished,70.0,70
2018,12,Hungarian Grand Prix,3,RIC,Red Bull Racing,12.0,4.0,12.0,Finished,70.0,70
2018,12,Hungarian Grand Prix,77,BOT,Mercedes,2.0,5.0,10.0,Finished,70.0,70
2018,12,Hungarian Grand Prix,10,GAS,Toro Rosso,6.0,6.0,8.0,Finished,70.0,70
2018,12,Hungarian Grand Prix,20,MAG,Haas F1 Team,9.0,7.0,6.0,+1 Lap,69.0,70
2018,12,Hungarian Grand Prix,14,ALO,McLaren,11.0,8.0,4.0,+1 Lap,69.0,70
2018,12,Hungarian Grand Prix,55,SAI,Renault,5.0,9.0,2.0,+1 Lap,69.0,70
2018,12,Hungarian Grand Prix,8,GRO,Haas F1 Team,10.0,10.0,1.0,+1 Lap,69.0,70
2018,12,Hungarian Grand Prix,28,HAR,Toro Rosso,8.0,11.0,0.0,+1 Lap,69.0,70
2018,12,Hungarian Grand Prix,27,HUL,Renault,13.0,12.0,0.0,+1 Lap,69.0,70
2018,12,Hungarian Grand Prix,31,OCO,Force India,18.0,13.0,0.0,+1 Lap,69.0,70
2018,12,Hungarian Grand Prix,11,PER,Force India,19.0,14.0,0.0,+1 Lap,69.0,70
2018,12,Hungarian Grand Prix,9,ERI,Sauber,14.0,15.0,0.0,+2 Laps,68.0,70
2018,12,Hungarian Grand Prix,35,SIR,Williams,20.0,16.0,0.0,+2 Laps,68.0,70
2018,12,Hungarian Grand Prix,18,STR,Williams,15.0,17.0,0.0,+2 Laps,68.0,70
2018,12,Hungarian Grand Prix,2,VAN,McLaren,16.0,18.0,0.0,Gearbox,50.0,70
2018,12,Hungarian Grand Prix,33,VER,Red Bull Racing,7.0,19.0,0.0,Power loss,6.0,70
2018,12,Hungarian Grand Prix,16,LEC,Sauber,17.0,20.0,0.0,Suspension,1.0,70
2018,13,Belgian Grand Prix,5,VET,Ferrari,2.0,1.0,25.0,Finished,44.0,44
2018,13,Belgian Grand Prix,44,HAM,Mercedes,1.0,2.0,18.0,Finished,44.0,44
2018,13,Belgian Grand Prix,33,VER,Red Bull Racing,7.0,3.0,15.0,Finished,44.0,44
2018,13,Belgian Grand Prix,77,BOT,Mercedes,19.0,4.0,12.0,Finished,44.0,44
2018,13,Belgian Grand Prix,11,PER,Racing Point,4.0,5.0,10.0,Finished,44.0,44
2018,13,Belgian Grand Prix,31,OCO,Racing Point,3.0,6.0,8.0,Finished,44.0,44
2018,13,Belgian Grand Prix,8,GRO,Haas F1 Team,5.0,7.0,6.0,Finished,44.0,44
