Year,Round,EventName,LapNumber,Overtaker,OvertakerNumber,OvertakerTeam,PositionBefore,PositionAfter,Overtaken,OvertakenNumber,OvertakenTeam,SessionTime,SameLapWindowStart,SameLapWindowEnd,PitInfluenceFlag,DNFInfluenceFlag,IsTeammate,Is_DRS_Active,RelativeDistance,Throttle_Drop_Index,Brake_Pressure_Delta,TeamOrderConfidence,Vmin_Deviation,OffTrack_Flag,Lockup_Flag,LocalYellowFlag,OffTrackConfidence
2023,16,Japanese Grand Prix,27.0,NOR,4,McLaren,3.0,2.0,PIA,81,McLaren,0 days 01:51:46.887000,0 days 01:50:09.022000,0 days 01:51:46.887000,False,False,True,True,0.5023172154336187,2.0,160.00000000000003,0.52,,False,False,False,
2023,19,Mexico City Grand Prix,31.0,GAS,10,Alpine,15.0,13.0,OCO,31,Alpine,0 days 01:46:04.682000,0 days 01:44:36.758000,0 days 01:46:04.682000,False,False,True,False,0.5348714257440621,2.125,439.99999999999994,0.528,,False,False,False,
2023,19,Mexico City Grand Prix,56.0,NOR,4,McLaren,8.0,7.0,PIA,81,McLaren,0 days 02:44:14.396000,0 days 02:42:51.981000,0 days 02:44:14.396000,False,False,True,True,0.5336823832321307,2.5,361.0,0.55,,False,False,False,
2024,9,Canadian Grand Prix,66.0,RIC,3,RB,10.0,9.0,TSU,22,RB,0 days 01:44:50.784000,0 days 01:43:34.961000,0 days 01:44:50.784000,False,False,True,False,0.4592197289639086,47.25000192,100.0,0.867,,False,False,True,0.1
2024,17,Azerbaijan Grand Prix,50.0,BEA,50,Haas F1 Team,13.0,10.0,HUL,27,Haas F1 Team,0 days 02:26:40.013000,0 days 02:24:52.755000,0 days 02:26:40.013000,False,False,True,False,0.4538192048626843,2.0,302.0,0.52,-23.91,False,True,True,0.3
2024,21,São Paulo Grand Prix,46.0,NOR,4,McLaren,7.0,6.0,PIA,81,McLaren,0 days 02:47:30.384000,0 days 02:46:07.278000,0 days 02:47:30.384000,False,False,True,False,0.5406400674908505,2.6666666666666643,492.0,0.56,,False,False,False,
2025,2,Chinese Grand Prix,21.0,LEC,16,Ferrari,5.0,4.0,HAM,44,Ferrari,0 days 01:33:40.816000,0 days 01:32:02.831000,0 days 01:33:40.816000,False,False,True,1.0,0.4736742545582241,2.0,344.0,0.52,,False,True,False,0.2
2025,6,Miami Grand Prix,38.0,HAM,44,Ferrari,8.0,7.0,LEC,16,Ferrari,0 days 01:57:30.161000,0 days 01:55:59.994000,0 days 01:57:30.161000,False,False,True,0.0,0.5664115365978805,2.0,203.0,0.52,,False,True,False,0.2
2025,6,Miami Grand Prix,52.0,LEC,16,Ferrari,8.0,7.0,HAM,44,Ferrari,0 days 02:18:34.467000,0 days 02:17:04.222000,0 days 02:18:34.467000,False,False,True,0.0,0.5714429865333759,2.0,380.0,0.52,,False,True,False,0.2
2025,12,British Grand Prix,5.0,RUS,63,Mercedes,14.0,13.0,ANT,12,Mercedes,0 days 01:05:58.374000,0 days 01:04:13.565000,0 days 01:05:58.374000,False,False,True,0.0,0.5305668744749097,2.0,339.99999999999994,0.52,,False,True,True,0.3
2025,13,Belgian Grand Prix,11.0,BEA,87,Haas F1 Team,12.0,11.0,OCO,31,Haas F1 Team,0 days 02:40:29.631000,0 days 02:38:28.165000,0 days 02:40:29.631000,False,False,True,0.0,0.4865691261747462,3.6666666666666714,149.99999999999997,0.62,,False,True,False,0.2
2025,14,Hungarian Grand Prix,59.0,SAI,55,Williams,16.0,15.0,ALB,23,Williams,0 days 02:18:23.443000,0 days 02:17:03.507000,0 days 02:18:23.443000,False,False,True,0.0,0.5402328129966528,3.0,160.0,0.58,,False,True,False,0.2
2025,15,Dutch Grand Prix,71.0,COL,43,Alpine,13.0,12.0,GAS,10,Alpine,0 days 02:33:50.451000,0 days 02:32:37.560000,0 days 02:33:50.451000,False,False,True,0.0,0.5271654293482291,19.99985408,0.0,0.6,,False,True,False,0.2
2025,18,Singapore Grand Prix,56.0,HAM,44,Ferrari,7.0,6.0,LEC,16,Ferrari,0 days 02:25:42.584000,0 days 02:24:06.251000,0 days 02:25:42.584000,False,False,True,0.0,0.5140464419453081,13.0,200.0,1.0,,False,True,False,0.2
2025,18,Singapore Grand Prix,61.0,LEC,16,Ferrari,7.0,6.0,HAM,44,Ferrari,0 days 02:33:43.848000,0 days 02:32:07.591000,0 days 02:33:43.848000,False,False,True,0.0,0.5040288809257844,30.75,378.0,1.0,,False,False,False,
